Product Name,Price
Lenovo Ideapad S145 Ryzen 3 Dual Core 3200U - (4 GB/1 TB HDD/Windows 10 Home) S145-15API Thin and Ligh...,"₹31,190"
Lenovo IdeaPad Slim 3i (2021) Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14ITL6 Thin and Lig...,"₹45,990"
Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) IdeaPad 3 15ITL6 Th...,"₹57,990"
Lapower IdeaPad 110 2.25a new slim pin 45 W Adapter,₹744
Lenovo Ideapad Slim 3i (2021) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14 ITL 6 Thin and L...,"₹43,990"
Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 15ITL6 Thin and Lig...,"₹54,990"
Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14 ITL 6 Thin and L...,"₹59,990"
VGTECH Laptop Adapter ideapad 20v 3.25a Laptop charger With Power Cord 65 W Adapter,₹745
Lenovo Ideapad Slim 3i (2021) Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) Ideapad 3 15IML05 T...,"₹37,990"
Lenovo Ideapad Slim 3i (2021) Core i3 11th Gen - (8 GB/256 GB SSD/DOS) Ideapad Slim 3i Thin and Light ...,"₹41,998"
LAPCARE LAPTOP BATTERY FOR IDEAPAD G580 2189-82U G580 2189-88U 6 Cell 6 Cell Laptop Battery,"₹1,789"
"L.expert Laptop Charger for Lnovo ideapad Z40-70, Z410 Z510, Z50-70, Z50-70/Z50-75 65w 3.25a (USB Slim...",₹744
LAPCARE L12L4A02 L12L4E01 L12M4A02 L12M4E01 L12S4A02 L12S4E01. Modèles compatibles:G400s G400s Touch G...,"₹1,799"
"Lenovo Ideapad Duet Chromebook 4 GB RAM 128 GB ROM 10.1 inch with Wi-Fi Only Tablet (Ice Blue, Iron Gr...","₹26,999"
Procence Laptop charger for Laptop Lenovo Ideapad 100-14IBY (Nano 14) 2.25a 45w new slim pin adapter (...,₹745
Lenovo Ideapad M100 RGB Gaming Wired Optical  Gaming Mouse,₹749
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 4600H - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA ...,"₹57,990"
Lenovo Ideapad Flex 5 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Ideapad Flex 5 14LT05 UA 2 ...,"₹52,990"
Lenovo IdeaPad Gaming Core i7 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce...,"₹73,990"
Procence Laptop charger for laptop 20v 3.25a Ideapad charger 65 W Adapter 65 W Adapter,₹745
Lenovo IdeaPad Gaming Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce G...,"₹55,990"
Lenovo Ideapad Slim 3i Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) Ideapad Slim 3 Thin and Li...,"₹60,990"
Lenovo Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) 81WA00K1IN Laptop,"₹42,390"
"L.expert IdeaPd 100s, IdeaPad 110 ( 45w 2.25a New Slim Pin ) 45 W Adapter",₹744
Lenovo Ideapad Slim 3i Core i5 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Ideapad Slim 3 Thin and Li...,"₹57,890"
Lenovo Ideapad Gaming 3 Core i5 - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeFor...,"₹77,298"
Lenovo IdeaPad Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) IdeaPad 5 15ALC05 Thin and ...,"₹57,990"
L.expert Laptop charger for Lenovo IDEAPAD 520-15IKBR 2.25a 45w Slim Pin Power Cord Included 45 W Adap...,₹744
"Techie 11.1V 4000mAh Li-ion Laptop Battery for Lenovo B470, B570, G460, G460A, G465, G470, G475, G560,...","₹1,599"
Lenovo Tab Ideapad Duet 3 with Bluetooth Keyboard and Digital Pen 4 GB RAM 128 GB ROM 10.3 inches with...,"₹29,999"
Lenovo IDEAPAD G50 G50-30 G50-80 Z40 Z70-70 Z70-80 4 Cell Laptop Battery,"₹3,549"
REGA NOVO IDEAPAD YOGA 2 PRO 20V 3.25A 65W 65 W Adapter,₹795
Lenovo IdeaPad Z460 20V 3.25A 65 W Adapter,"₹1,299"
Lenovo Ideapad Slim 5i Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) ide...,"₹69,990"
Lenovo Core i5 7th Gen - (4 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 520s Laptop,"₹57,999"
Rega IT Lenovo Ideapad G770 K47 V360 6 Cell Laptop Battery,"₹1,599"
Lenovo Ideapad Slim 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) IdeaPad Slim 3i 2 in 1 Lapt...,"₹49,988"
Lenovo Ideapad Slim 3i Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) Ideapad 3 14ITL6 Thin and ...,"₹60,998"
Lenovo IdeaPad Flex 5 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 14ITL05 2 in 1 Laptop,"₹83,990"
Rega IT Lenovo Ideapad G570 G575 G700 6 Cell Laptop Battery,"₹1,599"
