source|subtitle|year|label|author|statement|difficulty|rating|url|raw
2021 AMC 10|A -- February 4th, 2021|2021|1||"What is the value of $$(2^2-2) - (3^2-3) + (4^2-4)?$$
$\textbf{(A) } 1 \qquad \textbf{(B) } 2 \qquad \textbf{(C) } 5 \qquad \textbf{(D) } 8 \qquad \textbf{(E) } 12$"|-1|-1|https://artofproblemsolving.com/community/c1975144_2021_amc_10_|"What is the value of $$(2^2-2) - (3^2-3) + (4^2-4)?$$
$\textbf{(A) } 1 \qquad \textbf{(B) } 2 \qquad \textbf{(C) } 5 \qquad \textbf{(D) } 8 \qquad \textbf{(E) } 12$"
2021 AMC 10|A -- February 4th, 2021|2021|2||"Portia’s high school has $3$ times as many students as Lara’s high school. The two high schools have a total of
$2600$ students. How many students does Portia’s high school have?
$\textbf{(A) }600 \qquad \textbf{(B) }650 \qquad \textbf{(C) }1950 \qquad \textbf{(D) }2000 \qquad \textbf{(E) }2050$"|-1|-1|https://artofproblemsolving.com/community/c1975144_2021_amc_10_|"Portia’s high school has $3$ times as many students as Lara’s high school. The two high schools have a total of
$2600$ students. How many students does Portia’s high school have?
$\textbf{(A) }600 \qquad \textbf{(B) }650 \qquad \textbf{(C) }1950 \qquad \textbf{(D) }2000 \qquad \textbf{(E) }2050$"
2021 AMC 10|A -- February 4th, 2021|2021|3||"The sum of two natural numbers is $17,402.$ One of the two numbers is divisible by $10.$ If the units digit of that number is erased, the other number is obtained. What is the difference of these two numbers?

$\textbf{(A) }10,272 \qquad \textbf{(B) }11,700 \qquad \textbf{(C) }13,362 \qquad \textbf{(D) }14,238 \qquad \textbf{(E) }15,426$"|-1|-1|https://artofproblemsolving.com/community/c1975144_2021_amc_10_|"The sum of two natural numbers is $17,402.$ One of the two numbers is divisible by $10.$ If the units digit of that number is erased, the other number is obtained. What is the difference of these two numbers?

$\textbf{(A) }10,272 \qquad \textbf{(B) }11,700 \qquad \textbf{(C) }13,362 \qquad \textbf{(D) }14,238 \qquad \textbf{(E) }15,426$"
2021 AMC 10|A -- February 4th, 2021|2021|4||"A cart rolls down a hill, traveling 5 inches the first second and accelerating so that each successive 1-second time
interval, it travels 7 inches more than during the previous 1-second interval. The cart takes 30 seconds to reach the
bottom of the hill. How far, in inches, does it travel?
$\textbf{(A) }215 \qquad \textbf{(B) }360 \qquad \textbf{(C) }2992 \qquad \textbf{(D) }3195 \qquad \textbf{(E) }3242$"|-1|-1|https://artofproblemsolving.com/community/c1975144_2021_amc_10_|"A cart rolls down a hill, traveling 5 inches the first second and accelerating so that each successive 1-second time
interval, it travels 7 inches more than during the previous 1-second interval. The cart takes 30 seconds to reach the
bottom of the hill. How far, in inches, does it travel?
$\textbf{(A) }215 \qquad \textbf{(B) }360 \qquad \textbf{(C) }2992 \qquad \textbf{(D) }3195 \qquad \textbf{(E) }3242$"
2021 AMC 10|A -- February 4th, 2021|2021|5||"The quiz scores of a class with $k>12$ students have a mean of $8.$ The mean of a collection of $12$ of these quiz scores is $14.$ What is the mean of the remaining quiz scores in terms of $k$?


$\textbf{(A) } \frac{14-8}{k-12} \qquad \textbf{(B) } \frac{8k-168}{k-12} \qquad \textbf{(C) } \frac{14}{12} - \frac{k}{8} \qquad \textbf{(D) } \frac{14(k-12)}{k^2} \qquad \textbf{(E) } \frac{14(k-12)}{8k}$"|-1|-1|https://artofproblemsolving.com/community/c1975144_2021_amc_10_|"The quiz scores of a class with $k>12$ students have a mean of $8.$ The mean of a collection of $12$ of these quiz scores is $14.$ What is the mean of the remaining quiz scores in terms of $k$?


$\textbf{(A) } \frac{14-8}{k-12} \qquad \textbf{(B) } \frac{8k-168}{k-12} \qquad \textbf{(C) } \frac{14}{12} - \frac{k}{8} \qquad \textbf{(D) } \frac{14(k-12)}{k^2} \qquad \textbf{(E) } \frac{14(k-12)}{8k}$"
2021 AMC 10|A -- February 4th, 2021|2021|6||"Chantal and Jean start hiking from a trailhead toward a fire tower. Jean is wearing a heavy backpack and walks slower. Chantal starts walking at $4$ miles per hour. Halfway to the tower, the trail becomes really steep, and Chantal slows down to $2$ miles per hour. After reaching the tower, she immediately turns around and descends the steep part of the trail at $3$ miles per hour. She meets Jean at the halfway point. What was Jean's average speed, in miles per hour, until they meet?

$\textbf{(A)}~\frac{12}{13}\qquad \textbf{(B)}~1\qquad \textbf{(C)}~\frac{13}{12}\qquad \textbf{(D)}~\frac{24}{13}\qquad \textbf{(E)}~2$"|-1|-1|https://artofproblemsolving.com/community/c1975144_2021_amc_10_|"Chantal and Jean start hiking from a trailhead toward a fire tower. Jean is wearing a heavy backpack and walks slower. Chantal starts walking at $4$ miles per hour. Halfway to the tower, the trail becomes really steep, and Chantal slows down to $2$ miles per hour. After reaching the tower, she immediately turns around and descends the steep part of the trail at $3$ miles per hour. She meets Jean at the halfway point. What was Jean's average speed, in miles per hour, until they meet?

$\textbf{(A)}~\frac{12}{13}\qquad \textbf{(B)}~1\qquad \textbf{(C)}~\frac{13}{12}\qquad \textbf{(D)}~\frac{24}{13}\qquad \textbf{(E)}~2$"
2021 AMC 10|A -- February 4th, 2021|2021|7||"Tom has a collection of $13$ snakes, $4$ of which are purple and $5$ of which are happy. He observes that
$\bullet$ all of his happy snakes can add
$\bullet$ none of his purple snakes can subtract, and
$\bullet$ all of his snakes that can’t subtract also can’t add

Which of these conclusions can be drawn about Tom’s snakes?
$\textbf{(A)}$ Purple snakes can add.
$\textbf{(B)}$ Purple snakes are happy.
$\textbf{(C)}$ Snakes that can add are purple.
$\textbf{(D)}$ Happy snakes are not purple.
$\textbf{(E)}$ Happy snakes can't subtract."|-1|-1|https://artofproblemsolving.com/community/c1975144_2021_amc_10_|"Tom has a collection of $13$ snakes, $4$ of which are purple and $5$ of which are happy. He observes that
$\bullet$ all of his happy snakes can add
$\bullet$ none of his purple snakes can subtract, and
$\bullet$ all of his snakes that can’t subtract also can’t add

Which of these conclusions can be drawn about Tom’s snakes?
$\textbf{(A)}$ Purple snakes can add.
$\textbf{(B)}$ Purple snakes are happy.
$\textbf{(C)}$ Snakes that can add are purple.
$\textbf{(D)}$ Happy snakes are not purple.
$\textbf{(E)}$ Happy snakes can't subtract."
2021 AMC 10|A -- February 4th, 2021|2021|8||"When a student multiplied the number $66$ by the repeating decimal,
$$1. \underline{a}  \underline{b}  \underline{a}  \underline{b} … = 1.\overline{ab},$$where $a$ and $b$ are digits, he did not notice the notation and just multiplied $66$ times $1. \underline{a} \underline{b}.$ Later he found that his answer is $0.5$ less than the correct answer. What is the $2$- digit integer $\underline{a} \underline{b}$?

$\textbf{(A)}\ 15 \qquad\textbf{(B)}\ 30 \qquad\textbf{(C)}\ 45 \qquad\textbf{(D)}\ 60 \qquad\textbf{(E)}\ 75$"|-1|-1|https://artofproblemsolving.com/community/c1975144_2021_amc_10_|"When a student multiplied the number $66$ by the repeating decimal,
$$1. \underline{a}  \underline{b}  \underline{a}  \underline{b} … = 1.\overline{ab},$$where $a$ and $b$ are digits, he did not notice the notation and just multiplied $66$ times $1. \underline{a} \underline{b}.$ Later he found that his answer is $0.5$ less than the correct answer. What is the $2$- digit integer $\underline{a} \underline{b}$?

$\textbf{(A)}\ 15 \qquad\textbf{(B)}\ 30 \qquad\textbf{(C)}\ 45 \qquad\textbf{(D)}\ 60 \qquad\textbf{(E)}\ 75$"
2021 AMC 10|A -- February 4th, 2021|2021|9||"What is the least possible value of $(xy-1)^2+(x+y)^2$ for real numbers $x$ and $y$?

$\textbf{(A)}\ 0 \qquad\textbf{(B)}\ \frac14 \qquad\textbf{(C)}\ \frac12 \qquad\textbf{(D)}\ 1 \qquad\textbf{(E)}\ 2$"|-1|-1|https://artofproblemsolving.com/community/c1975144_2021_amc_10_|"What is the least possible value of $(xy-1)^2+(x+y)^2$ for real numbers $x$ and $y$?

$\textbf{(A)}\ 0 \qquad\textbf{(B)}\ \frac14 \qquad\textbf{(C)}\ \frac12 \qquad\textbf{(D)}\ 1 \qquad\textbf{(E)}\ 2$"
2021 AMC 10|A -- February 4th, 2021|2021|10||"Which of the following is equivalent to $$(2+3)(2^2+3^2)(2^4+3^4)(2^8+3^8)(2^{16}+3^{16})(2^{32}+3^{32})(2^{64}+3^{64})?$$
$\textbf{(A) }3^{127}+2^{127} \qquad \textbf{(B) }3^{127}+2^{127}+2\cdot 3^{63}+3\cdot 2^{63} \qquad \textbf{(C) }3^{128}-2^{128} \qquad \textbf{(D) }3^{128}+2^{128} \qquad \textbf{(E) }5^{127}$"|-1|-1|https://artofproblemsolving.com/community/c1975144_2021_amc_10_|"Which of the following is equivalent to $$(2+3)(2^2+3^2)(2^4+3^4)(2^8+3^8)(2^{16}+3^{16})(2^{32}+3^{32})(2^{64}+3^{64})?$$
$\textbf{(A) }3^{127}+2^{127} \qquad \textbf{(B) }3^{127}+2^{127}+2\cdot 3^{63}+3\cdot 2^{63} \qquad \textbf{(C) }3^{128}-2^{128} \qquad \textbf{(D) }3^{128}+2^{128} \qquad \textbf{(E) }5^{127}$"
