source,year,label,statement,author,difficulty,rating
2020 ISL,2020 ,A1,"\textit{Version 1}. Let $n$ be a positive integer, and set $N=2^{n}$. Determine the smallest real number $a_{n}$ such that, for all real $x$,
\[
\sqrt[N]{\frac{x^{2 N}+1}{2}} \leqslant a_{n}(x-1)^{2}+x .
\]\textit{Version 2}. For every positive integer $N$, determine the smallest real number $b_{N}$ such that, for all real $x$,
\[
\sqrt[N]{\frac{x^{2 N}+1}{2}} \leqslant b_{N}(x-1)^{2}+x .
\]",,-1,-1
2020 ISL,2020 ,A2,"Let $\mathcal{A}$ denote the set of all polynomials in three variables $x, y, z$ with integer coefficients. Let $\mathcal{B}$ denote the subset of $\mathcal{A}$ formed by all polynomials which can be expressed as
\begin{align*}
(x + y + z)P(x, y, z) + (xy + yz + zx)Q(x, y, z) + xyzR(x, y, z)
\end{align*}with $P, Q, R \in \mathcal{A}$.  Find the smallest non-negative integer $n$ such that $x^i y^j z^k \in \mathcal{B}$ for all non-negative integers $i, j, k$ satisfying $i + j + k \geq n$.",,-1,-1
2020 ISL,2020 ,A3,"Suppose that $a,b,c,d$ are positive real numbers satisfying $(a+c)(b+d)=ac+bd$. Find the smallest possible value of
$$\frac{a}{b}+\frac{b}{c}+\frac{c}{d}+\frac{d}{a}.$$\textit{Israel}",,-1,-1
2020 ISL,2020 ,A4,"The real numbers $a, b, c, d$ are such that $a\geq b\geq c\geq d>0$ and $a+b+c+d=1$. Prove that
\[(a+2b+3c+4d)a^ab^bc^cd^d<1\]","Stijn Cambie, Belgium",-1,-1
2020 ISL,2020 ,A5,"A magician intends to perform the following trick. She announces a positive integer $n$, along with $2n$ real numbers $x_1 < \dots < x_{2n}$, to the audience. A member of the audience then secretly chooses a polynomial $P(x)$ of degree $n$ with real coefficients, computes the $2n$ values $P(x_1), \dots , P(x_{2n})$, and writes down these $2n$ values on the blackboard in non-decreasing order. After that the magician announces the secret polynomial to the audience. Can the magician find a strategy to perform such a trick?",,-1,-1
2020 ISL,2020 ,A6,"Find all functions $f : \mathbb{Z}\rightarrow \mathbb{Z}$ satisfying
\[f^{a^{2} + b^{2}}(a+b) = af(a) +bf(b)\]for all integers $a$ and $b$",,-1,-1
2020 ISL,2020 ,A7,"Let $n$ and $k$ be positive integers. Prove that for $a_1, \dots, a_n \in [1,2^k]$ one has
\[ \sum_{i = 1}^n \frac{a_i}{\sqrt{a_1^2 + \dots + a_i^2}} \le 4 \sqrt{kn}. \]",,-1,-1
2020 ISL,2020 ,A8,"Let $R+$ be the set of positive real numbers. Determine all functions $f:R+$ $\rightarrow$ $R+$ such that for all positive real numbers $x$ and $y$
$f(x+f(xy))+y=f(x)f(y)+1$

$(Ukraine)$",,-1,-1
2020 ISL,2020 ,C1,"Let $n$ be a positive integer. Find the number of permutations $a_1$, $a_2$, $\dots a_n$ of the
sequence $1$, $2$, $\dots$ , $n$ satisfying
$$a_1 \le 2a_2\le 3a_3 \le \dots \le na_n$$.

Proposed by United Kingdom",,-1,-1
2020 ISL,2020 ,C2,"In a regular 100-gon, 41 vertices are colored black and the remaining 59 vertices are colored white. Prove that there exist 24 convex quadrilaterals $Q_{1}, \ldots, Q_{24}$ whose corners are vertices of the 100-gon, so that
\begin{itemize}
\item the quadrilaterals $Q_{1}, \ldots, Q_{24}$ are pairwise disjoint, and
\item every quadrilateral $Q_{i}$ has three corners of one color and one corner of the other color.
\end{itemize}
",,-1,-1
2020 ISL,2020 ,C3,"There is an integer $n > 1$. There are $n^2$ stations on a slope of a mountain, all at different altitudes. Each of two cable car companies, $A$ and $B$, operates $k$ cable cars; each cable car provides a transfer from one of the stations to a higher one (with no intermediate stops). The $k$ cable cars of $A$ have $k$ different starting points and $k$ different finishing points, and a cable car which starts higher also finishes higher. The same conditions hold for $B$. We say that two stations are linked by a company if one can start from the lower station and reach the higher one by using one or more cars of that company (no other movements between stations are allowed). Determine the smallest positive integer $k$ for which one can guarantee that there are two stations that are linked by both companies.","Tejaswi Navilarekallu, India",-1,-1
2020 ISL,2020 ,C4,"The Fibonacci numbers $F_0, F_1, F_2, . . .$ are defined inductively by $F_0=0, F_1=1$, and $F_{n+1}=F_n+F_{n-1}$ for $n \ge 1$. Given an integer $n \ge 2$, determine the smallest size of a set $S$ of integers such that for every $k=2, 3, . . . , n$ there exist some $x, y \in S$ such that $x-y=F_k$.

\textit{$Proposed \;  by \; Croatia$}",,-1,-1
2020 ISL,2020 ,C5,"Let $p$ be an odd prime, and put $N=\frac{1}{4} (p^3 -p) -1.$ The numbers $1,2, \dots, N$ are painted arbitrarily in two colors, red and blue. For any positive integer $n \leqslant N,$ denote $r(n)$ the fraction of integers $\{ 1,2, \dots, n \}$ that are red.
Prove that there exists a positive integer $a \in \{ 1,2, \dots, p-1\}$ such that $r(n) \neq a/p$ for all $n = 1,2, \dots , N.$

\textit{Netherlands}",,-1,-1
2020 ISL,2020 ,C6,"There are $4n$ pebbles of weights $1, 2, 3, \dots, 4n.$ Each pebble is coloured in one of $n$ colours and there are four pebbles of each colour. Show that we can arrange the pebbles into two piles so that the following two conditions are both satisfied:
\begin{itemize}
\item The total weights of both piles are the same.
\item Each pile contains two pebbles of each colour.
\end{itemize}","Milan Haiman, Hungary and Carl Schildkraut, USA",-1,-1
